"CMT/CAPT Science Assessment, 2015-16"
"All Districts, Grade 10, English Learner Status (EL)"

"",,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",,""
"District","District Code","English Learner Status (EL)","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%","AverageSS"
"Milford School District","=""0840011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Monroe School District","=""0850011""","N",299,297,99.3,295,"*","*","*","*",55,18.6,77,26.1,150,50.8,227,76.9,295
"Montville School District","=""0860011""","N",182,179,98.4,179,"*","*","*","*","*","*","*","*","*","*","*","*",273
"Montville School District","=""0860011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Naugatuck School District","=""0880011""","N",286,273,95.5,272,32,11.8,60,22.1,109,40.1,39,14.3,32,11.8,71,26.1,237
"Naugatuck School District","=""0880011""","Y",12,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Britain School District","=""0890011""","N",430,397,92.3,392,123,31.4,94,24.0,109,27.8,44,11.2,22,5.6,66,16.8,217
"New Britain School District","=""0890011""","Y",111,101,91.0,99,70,70.7,23,23.2,6,6.1,0,0.0,0,0.0,0,0.0,179
"New Canaan School District","=""0900011""","N",316,311,98.4,310,"*","*","*","*","*","*","*","*","*","*","*","*",297
"New Canaan School District","=""0900011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Fairfield School District","=""0910011""","N",217,215,99.1,215,"*","*","*","*","*","*","*","*","*","*","*","*",277
"New Fairfield School District","=""0910011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","N",1328,1178,88.7,1151,243,21.1,285,24.8,363,31.5,144,12.5,116,10.1,260,22.6,228
"New Haven School District","=""0930011""","Y",160,130,81.3,125,90,72.0,25,20.0,"*","*",0,0.0,"*","*","*","*",178
"New London School District","=""0950011""","N",193,178,92.2,177,28,15.8,34,19.2,"*","*",24,13.6,"*","*","*","*",239
"New London School District","=""0950011""","Y",47,42,89.4,41,28,68.3,9,22.0,"*","*",0,0.0,"*","*","*","*",179
"New Milford School District","=""0960011""","N",353,336,95.2,335,"*","*","*","*","*","*","*","*","*","*","*","*",277
"New Milford School District","=""0960011""","Y",8,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Newington School District","=""0940011""","N",295,292,99.0,292,"*","*","*","*","*","*","*","*","*","*","*","*",259
"Newington School District","=""0940011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Newtown School District","=""0970011""","N",416,412,99.0,412,6,1.5,12,2.9,70,17.0,91,22.1,233,56.6,324,78.6,297
"North Branford School District","=""0990011""","N",149,146,98.0,146,"*","*","*","*","*","*","*","*","*","*","*","*",281
"North Branford School District","=""0990011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Haven School District","=""1010011""","N",251,243,96.8,242,"*","*","*","*","*","*","*","*","*","*","*","*",276
"North Haven School District","=""1010011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"North Stonington School District","=""1020011""","N",46,46,100.0,46,"*","*","*","*",14,30.4,10,21.7,18,39.1,28,60.9,277
"Norwalk School District","=""1030011""","N",744,725,97.4,724,45,6.2,103,14.2,283,39.1,159,22.0,134,18.5,293,40.5,255
"Norwalk School District","=""1030011""","Y",118,108,91.5,106,69,65.1,26,24.5,11,10.4,0,0.0,0,0.0,0,0.0,184
"Norwich Free Academy District","=""9010022""","N",533,520,97.6,518,"*","*",75,14.5,"*","*",96,18.5,114,22.0,210,40.5,251
"Norwich Free Academy District","=""9010022""","Y",25,24,96.0,24,12,50.0,"*","*","*","*",0,0.0,0,0.0,0,0.0,188
"Norwich School District","=""1040011""","N",6,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Old Saybrook School District","=""1060011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","N",140,140,100.0,138,"*","*","*","*","*","*","*","*","*","*","*","*",284
"Oxford School District","=""1080011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","N",34,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Path Academy District","=""2930013""","Y",11,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","N",170,163,95.9,162,31,19.1,31,19.1,62,38.3,23,14.2,15,9.3,38,23.5,233
"Plainville School District","=""1100011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plainville School District","=""1100011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Plymouth School District","=""1110011""","N",130,126,96.9,126,15,11.9,27,21.4,39,31.0,29,23.0,16,12.7,45,35.7,241
"Portland School District","=""1130011""","N",92,92,100.0,92,"*","*","*","*",29,31.5,24,26.1,29,31.5,53,57.6,275
"Putnam School District","=""1160011""","N",68,67,98.5,66,"*","*","*","*","*","*","*","*","*","*","*","*",234
"Putnam School District","=""1160011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","N",92,90,97.8,90,"*","*",14,15.6,38,42.2,20,22.2,"*","*","*","*",252
"Regional School District 04","=""2040012""","N",155,154,99.4,154,"*","*","*","*",41,26.6,36,23.4,69,44.8,105,68.2,288
"Regional School District 05","=""2050012""","N",357,356,99.7,355,"*","*","*","*","*","*","*","*","*","*","*","*",296
"Regional School District 05","=""2050012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","N",116,115,99.1,115,"*","*","*","*","*","*","*","*","*","*","*","*",261
"Regional School District 06","=""2060012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","N",176,176,100.0,175,"*","*","*","*",45,25.7,47,26.9,71,40.6,118,67.4,283
"Regional School District 08","=""2080012""","N",276,271,98.2,271,6,2.2,9,3.3,71,26.2,86,31.7,99,36.5,185,68.3,283
"Regional School District 09","=""2090012""","N",241,235,97.5,233,0,0.0,"*","*","*","*","*","*","*","*","*","*",297
"Regional School District 09","=""2090012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 10","=""2100012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 11","=""2110012""","N",29,29,100.0,29,"*","*","*","*",7,24.1,7,24.1,10,34.5,17,58.6,267
"Regional School District 12","=""2120012""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","N",126,123,97.6,123,"*","*","*","*",24,19.5,32,26.0,61,49.6,93,75.6,298
"Regional School District 14","=""2140012""","N",193,192,99.5,192,"*","*","*","*",60,31.3,49,25.5,65,33.9,114,59.4,276
"Regional School District 15","=""2150012""","N",288,281,97.6,281,"*","*","*","*","*","*","*","*","*","*","*","*",294
"Regional School District 15","=""2150012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 16","=""2160012""","N",172,172,100.0,172,17,9.9,16,9.3,60,34.9,39,22.7,40,23.3,79,45.9,258
"Regional School District 17","=""2170012""","N",166,163,98.2,163,"*","*","*","*","*","*","*","*","*","*","*","*",293
"Regional School District 17","=""2170012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 18","=""2180012""","N",118,118,100.0,117,"*","*","*","*",27,23.1,29,24.8,49,41.9,78,66.7,282
"Regional School District 19","=""2190012""","N",295,291,98.6,291,"*","*","*","*","*","*","*","*","*","*","*","*",277
"Regional School District 19","=""2190012""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Ridgefield School District","=""1180011""","N",427,404,94.6,404,0,0.0,"*","*","*","*","*","*","*","*","*","*",300
"Ridgefield School District","=""1180011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Rocky Hill School District","=""1190011""","N",174,172,98.9,172,"*","*","*","*","*","*","*","*","*","*","*","*",278
"Rocky Hill School District","=""1190011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Seymour School District","=""1240011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Shelton School District","=""1260011""","N",348,339,97.4,338,"*","*","*","*","*","*","*","*","*","*","*","*",268
"Shelton School District","=""1260011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Sherman School District","=""1270011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Simsbury School District","=""1280011""","N",331,329,99.4,328,6,1.8,7,2.1,38,11.6,61,18.6,216,65.9,277,84.5,308
"Somers School District","=""1290011""","N",122,120,98.4,120,"*","*","*","*",35,29.2,19,15.8,54,45.0,73,60.8,284
"South Windsor School District","=""1320011""","N",330,324,98.2,324,"*","*","*","*","*","*","*","*","*","*","*","*",302
"South Windsor School District","=""1320011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Southington School District","=""1310011""","N",537,525,97.8,524,"*","*","*","*","*","*","*","*","*","*","*","*",283
"Southington School District","=""1310011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stafford School District","=""1340011""","N",94,89,94.7,89,"*","*","*","*",24,27.0,20,22.5,35,39.3,55,61.8,276
"Stamford Academy District","=""2820013""","N",44,39,88.6,39,25,64.1,"*","*","*","*",0,0.0,0,0.0,0,0.0,184
"Stamford School District","=""1350011""","N",932,909,97.5,907,109,12.0,148,16.3,317,35.0,165,18.2,168,18.5,333,36.7,248
"Stamford School District","=""1350011""","Y",179,167,93.3,165,121,73.3,34,20.6,10,6.1,0,0.0,0,0.0,0,0.0,176
"Sterling School District","=""1360011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Stonington School District","=""1370011""","N",182,180,98.9,180,"*","*","*","*",56,31.1,48,26.7,59,32.8,107,59.4,275
"Stratford School District","=""1380011""","N",501,482,96.2,479,30,6.3,66,13.8,185,38.6,113,23.6,85,17.7,198,41.3,254
"Stratford School District","=""1380011""","Y",21,21,100.0,21,12,57.1,"*","*","*","*",0,0.0,0,0.0,0,0.0,185
"Suffield School District","=""1390011""","N",203,197,97.0,197,"*","*","*","*",43,21.8,47,23.9,95,48.2,142,72.1,290
"The Bridge Academy District","=""2690013""","N","*","*","*","*","*","*","*","*","*","*","*","*",0,0.0,"*","*","*"
"The Bridge Academy District","=""2690013""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"The Gilbert School District","=""9020022""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"The Gilbert School District","=""9020022""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Thomaston School District","=""1400011""","N",57,57,100.0,57,"*","*","*","*",23,40.4,14,24.6,11,19.3,25,43.9,256
"Thompson School District","=""1410011""","N",72,68,94.4,68,13,19.1,"*","*",32,47.1,10,14.7,"*","*","*","*",235
"Tolland School District","=""1420011""","N",214,214,100.0,214,"*","*","*","*","*","*","*","*","*","*","*","*",286
"Tolland School District","=""1420011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Torrington School District","=""1430011""","N",246,213,86.6,212,"*","*","*","*","*","*","*","*","*","*","*","*",244
"Torrington School District","=""1430011""","Y",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Trumbull School District","=""1440011""","N",554,544,98.2,544,"*","*","*","*","*","*","*","*","*","*","*","*",298
"Trumbull School District","=""1440011""","Y",7,7,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Unified School District #2","=""3470015""","N",40,35,87.5,34,16,47.1,8,23.5,10,29.4,0,0.0,0,0.0,0,0.0,190
"Vernon School District","=""1460011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Vernon School District","=""1460011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Voluntown School District","=""1470011""","N","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Wallingford School District","=""1480011""","N",456,450,98.7,450,14,3.1,30,6.7,159,35.3,128,28.4,119,26.4,247,54.9,269
"Wallingford School District","=""1480011""","Y",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*","*"
"Waterbury School District","=""1510011""","N",1095,1057,96.5,1045,294,28.1,263,25.2,329,31.5,95,9.1,64,6.1,159,15.2,218
"Waterbury School District","=""1510011""","Y",154,148,96.1,146,109,74.7,28,19.2,"*","*","*","*",0,0.0,"*","*",173
"Waterford School District","=""1520011""","N",210,203,96.7,203,"*","*","*","*","*","*","*","*","*","*","*","*",271
"Waterford School District","=""1520011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Watertown School District","=""1530011""","N",206,197,95.6,197,"*","*","*","*","*","*","*","*","*","*","*","*",266
"Watertown School District","=""1530011""","Y","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"West Hartford School District","=""1550011""","N",711,702,98.7,702,15,2.1,24,3.4,112,16.0,144,20.5,407,58.0,551,78.5,300
"West Hartford School District","=""1550011""","Y",23,21,91.3,21,"*","*","*","*",7,33.3,"*","*","*","*","*","*",221
"West Haven School District","=""1560011""","N",364,349,95.9,347,35,10.1,50,14.4,125,36.0,65,18.7,72,20.7,137,39.5,252
"West Haven School District","=""1560011""","Y",32,30,93.8,30,16,53.3,7,23.3,"*","*","*","*",0,0.0,"*","*",196
