"FTE Staffing Report for 2013-14"

"District","School","Assignment Category","Educator Type","FTE Count"
,="Pembroke School",="Special Education - Teachers and Instructors",="Certified",7.2
,="Rogers Park Middle School",="Special Education - Teachers and Instructors",="Certified",12.0
,="Shelter Rock School",="Special Education - Teachers and Instructors",="Certified",1.8
,="South Street School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Stadley Rough School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Western CT Academy of International Studies Elementary Magnet School",="Special Education - Teachers and Instructors",="Certified",1.0
="Darien School District",="Darien High School",="Special Education - Teachers and Instructors",="Certified",11.7
,="Hindley Elementary School",="Special Education - Teachers and Instructors",="Certified",8.7
,="Holmes Elementary School",="Special Education - Teachers and Instructors",="Certified",5.2
,="Middlesex Middle School",="Special Education - Teachers and Instructors",="Certified",16.2
,="Ox Ridge Elementary School",="Special Education - Teachers and Instructors",="Certified",9.2
,="Royle Elementary School",="Special Education - Teachers and Instructors",="Certified",6.8
,="Tokeneke Elementary School",="Special Education - Teachers and Instructors",="Certified",8.0
="Deep River School District",="Deep River Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0
="Department of Mental Health and Addiction Services",="Connecticut Valley Hospital",="Special Education - Teachers and Instructors",="Certified",1.0
="Derby School District",="Bradley School",="Special Education - Teachers and Instructors",="Certified",4.0
,="Derby High School",="Special Education - Teachers and Instructors",="Certified",3.6
,="Derby Middle School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Irving School",="Special Education - Teachers and Instructors",="Certified",5.0
="East Granby School District",="Allgrove School",="Special Education - Teachers and Instructors",="Certified",2.5
,="East Granby High School",="Special Education - Teachers and Instructors",="Certified",4.0
,="East Granby Middle School",="Special Education - Teachers and Instructors",="Certified",2.0
,="R. Dudley Seymour School",="Special Education - Teachers and Instructors",="Certified",1.5
="East Haddam School District",="East Haddam Elementary School",="Special Education - Teachers and Instructors",="Certified",3.5
,="Nathan Hale-Ray High School",="Special Education - Teachers and Instructors",="Certified",6.0
,="Nathan Hale-Ray Middle School",="Special Education - Teachers and Instructors",="Certified",4.6
="East Hampton School District",="Center School",="Special Education - Teachers and Instructors",="Certified",4.5
,="East Hampton High School",="Special Education - Teachers and Instructors",="Certified",5.0
,="East Hampton Middle School",="Special Education - Teachers and Instructors",="Certified",6.1
,="Memorial School",="Special Education - Teachers and Instructors",="Certified",7.0
,="The Learning Center at East Hampton",="Special Education - Teachers and Instructors",="Certified",1.0
="East Hartford School District",="Anna E. Norris School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Dr. Franklin H. Mayberry School",="Special Education - Teachers and Instructors",="Certified",2.0
,="Dr. John A. Langford School",="Special Education - Teachers and Instructors",="Certified",3.0
,="Dr. Thomas S. O'Connell School",="Special Education - Teachers and Instructors",="Certified",3.0
,="East Hartford High School",="Special Education - Teachers and Instructors",="Certified",14.6
