"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
,="Trumbull High School",="Special Education - Teachers and Instructors",="Certified",14.1,15.3,16.2,15.9,16.2
,="Educating Learners in Transitional Environments (ELITE)",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Unified School District #1",="Bergin Correctional Institution",="Special Education - Teachers and Instructors",="Certified",1.0,.,.,.,.
,"Bridgeport Correctional Center","Special Education - Teachers and Instructors","Certified",0.7,0.5,1.0,1.0,1.0
,="Brooklyn Correctional Institution",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Cheshire Correctional Institution",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Corrigan/Radgowski Correctional Institution",="Special Education - Teachers and Instructors",="Certified",2.0,3.0,3.0,3.0,3.0
,="Enfield Correctional Institution",="Special Education - Teachers and Instructors",="Certified",0.5,1.0,1.0,1.0,1.0
,="Garner Correctional Institution",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,1.0,1.0
,="Gates Correctional Institution",="Special Education - Teachers and Instructors",="Certified",1.0,.,.,.,.
,"Hartford Correctional Center","Special Education - Teachers and Instructors","Certified",1.0,1.0,1.0,1.0,1.0
,="MacDougall/Walker Correctional Institution",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Manson Youth Institution",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,7.0,7.0,5.0
,="New Haven Correctional Center",="Special Education - Teachers and Instructors",="Certified",0.5,0.5,1.0,1.0,1.0
,="Northern Correctional Institution",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Osborn Correctional Institution",="Special Education - Teachers and Instructors",="Certified",2.0,1.0,1.0,1.0,.
,"Robinson Correctional Institution","Special Education - Teachers and Instructors","Certified",0.5,.,.,.,1.0
,="Willard/Cybulski Correctional Institution",="Special Education - Teachers and Instructors",="Certified",2.0,1.5,1.0,1.0,1.0
,="York Correctional Institution",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,2.0,3.0
="Unified School District #2",="Children's Place School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,4.0,4.0,5.0
,="Riverview School",="Special Education - Teachers and Instructors",="Certified",14.0,15.0,15.0,15.0,12.0
,="Walter G. Cady School",="Special Education - Teachers and Instructors",="Certified",17.8,15.8,15.8,18.8,18.0
="Union School District",="Union Elementary School",="Special Education - Teachers and Instructors",="Certified",0.8,0.8,0.8,0.8,1.4
="Vernon School District",="Northeast School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Center Road School",="Special Education - Teachers and Instructors",="Certified",7.5,8.0,8.0,5.0,7.5
,="Lake Street School",="Special Education - Teachers and Instructors",="Certified",4.0,5.5,4.0,5.5,3.0
,="Maple Street School",="Special Education - Teachers and Instructors",="Certified",3.7,5.7,4.5,6.0,4.0
,="Rockville High School",="Special Education - Teachers and Instructors",="Certified",9.8,11.6,12.6,12.6,12.4
,="Skinner Road School",="Special Education - Teachers and Instructors",="Certified",4.0,4.5,4.5,3.5,5.0
,="Vernon Center Middle School",="Special Education - Teachers and Instructors",="Certified",9.0,8.5,9.5,8.5,8.8
,="Loveland Hill School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.8
="Voluntown School District",="Voluntown Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,4.0
="Wallingford School District",="Highland School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,1.5,1.5
,="A.R.T.S. Academy",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,2.0,3.0
,="Cook Hill School",="Special Education - Teachers and Instructors",="Certified",6.5,6.0,7.0,6.5,7.0
,="Dag Hammarskjold Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,6.0,5.0,7.0,7.0
,="Evarts C. Stevens School",="Special Education - Teachers and Instructors",="Certified",1.5,2.0,2.0,3.0,2.0
,="James H. Moran Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,7.0,6.0,6.0
,="Lyman Hall High School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,6.0,6.0,7.8
,="Mark T. Sheehan High School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Moses Y. Beach School",="Special Education - Teachers and Instructors",="Certified",2.0,1.5,2.0,1.2,1.5
,="Parker Farms School",="Special Education - Teachers and Instructors",="Certified",2.5,3.0,3.0,2.5,2.5
,="Pond Hill School",="Special Education - Teachers and Instructors",="Certified",3.5,3.0,3.0,2.5,2.5
,="Rock Hill School",="Special Education - Teachers and Instructors",="Certified",2.5,3.0,3.0,3.0,3.0
,="Yalesville School",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,3.0,3.8,3.5
,="Harvest Park",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,1.0
,="Multi-Vocational Life Skills Program",="Special Education - Teachers and Instructors",="Certified",.,.,.,2.0,.
"Waterbury School District","Brooklyn Elementary School","Special Education - Teachers and Instructors","Certified",2.0,.,.,.,.
,"West Side Middle School","Special Education - Teachers and Instructors","Certified",19.0,14.0,14.0,14.0,15.0
,="Washington School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.1,2.0
,="B. W. Tinker School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,4.6,4.6,5.0
,="Barnard School",="Special Education - Teachers and Instructors",="Certified",3.0,0.4,.,.,.
,"Bucks Hill School","Special Education - Teachers and Instructors","Certified",11.0,11.0,9.9,7.9,4.0
,="Bunker Hill School",="Special Education - Teachers and Instructors",="Certified",3.8,3.8,3.8,5.0,5.0
,="Carrington School",="Special Education - Teachers and Instructors",="Certified",5.6,5.6,4.8,6.0,6.0
,="Crosby High School",="Special Education - Teachers and Instructors",="Certified",12.0,11.6,14.0,13.0,14.8
,="Driggs School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,5.0,5.0,4.0
,="Enlightenment School",="Special Education - Teachers and Instructors",="Certified",8.0,9.0,7.0,8.0,9.0
,="F. J. Kingsbury School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,2.0,3.0
,="Gilmartin School",="Special Education - Teachers and Instructors",="Certified",2.8,4.0,5.0,5.0,7.0
,="H. S. Chase School",="Special Education - Teachers and Instructors",="Certified",5.2,5.2,5.2,5.0,6.0
,="Hopeville School",="Special Education - Teachers and Instructors",="Certified",2.2,2.2,3.0,4.0,3.0
,="John F. Kennedy High School",="Special Education - Teachers and Instructors",="Certified",9.0,10.0,9.0,10.0,11.4
,="Maloney Interdistrict Magnet School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,6.0,6.0
,="Margaret M. Generali Elementary School",="Special Education - Teachers and Instructors",="Certified",6.0,7.0,6.0,7.0,7.0
,="Michael F. Wallace Middle School",="Special Education - Teachers and Instructors",="Certified",15.0,15.0,15.0,14.0,15.0
,="North End Middle School",="Special Education - Teachers and Instructors",="Certified",15.0,14.0,16.0,16.0,16.0
,="Regan School",="Special Education - Teachers and Instructors",="Certified",2.2,2.0,2.0,2.0,2.0
,="Rotella Interdistrict Magnet School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.0,3.0,3.0
,="Special Education Preschool",="Special Education - Teachers and Instructors",="Certified",11.0,10.0,12.0,12.0,9.0
,="Sprague School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,="State Street School",="Special Education - Teachers and Instructors",="Certified",8.0,6.0,10.0,10.0,9.8
,="Walsh School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,2.0,3.0
,="Waterbury Arts Magnet School (High)",="Special Education - Teachers and Instructors",="Certified",2.6,2.6,2.6,2.5,3.0
,="Waterbury Arts Magnet School (Middle)",="Special Education - Teachers and Instructors",="Certified",2.6,2.6,2.6,2.5,1.0
,="Wendell L. Cross School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,2.8
,="Wilby High School",="Special Education - Teachers and Instructors",="Certified",11.2,12.2,13.2,14.2,15.8
,="Woodrow Wilson School",="Special Education - Teachers and Instructors",="Certified",6.0,7.0,6.0,6.0,6.0
,="Duggan School",="Special Education - Teachers and Instructors",="Certified",.,5.6,6.5,6.1,8.0
,="Reed School",="Special Education - Teachers and Instructors",="Certified",.,.,4.0,6.0,9.0
,="Waterbury Career Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,0.8,2.0
,="Other",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.3
,="Children's Comm. School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.1
,="Holy Cross High School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.3
,="Saint Mary School-Waterbury",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.1
,="Waterbury Christian Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.3
="Waterford School District",="Clark Lane Middle School",="Special Education - Teachers and Instructors",="Certified",5.6,6.0,5.2,6.5,6.0
,="Great Neck Elementary School",="Special Education - Teachers and Instructors",="Certified",4.3,3.6,4.9,4.5,4.3
,="Oswegatchie Elementary School",="Special Education - Teachers and Instructors",="Certified",4.3,5.0,4.2,5.4,6.3
,="Quaker Hill Elementary School",="Special Education - Teachers and Instructors",="Certified",4.3,4.3,4.5,4.5,4.3
,="Waterford High School",="Special Education - Teachers and Instructors",="Certified",7.0,7.4,7.5,7.4,7.3
,="Waterford Country School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.5
="Watertown School District",="Fletcher W. Judson School",="Special Education - Teachers and Instructors",="Certified",3.2,3.1,3.0,2.0,2.0
,="John Trumbull Primary School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,8.0,8.0,7.5
,="Polk School",="Special Education - Teachers and Instructors",="Certified",3.0,3.1,4.0,4.0,4.0
,="Swift Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,6.3,6.0,6.0,4.8
,="Watertown High School",="Special Education - Teachers and Instructors",="Certified",9.8,10.6,10.0,9.0,9.0
="West Hartford School District",="Smith School",="Special Education - Teachers and Instructors",="Certified",1.7,3.7,2.7,1.7,1.7
,="Aiken School",="Special Education - Teachers and Instructors",="Certified",3.5,3.5,4.2,3.2,1.7
,="Braeburn School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,3.0,3.0
,="Bristow Middle School",="Special Education - Teachers and Instructors",="Certified",3.5,3.3,3.3,4.8,3.5
,="Bugbee School",="Special Education - Teachers and Instructors",="Certified",1.0,2.0,2.0,2.0,1.0
,="Charter Oak International Academy",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="Conard High School",="Special Education - Teachers and Instructors",="Certified",13.3,13.2,13.3,13.1,11.4
,="Duffy School",="Special Education - Teachers and Instructors",="Certified",4.8,3.9,1.2,1.2,1.2
,="Hall High School",="Special Education - Teachers and Instructors",="Certified",11.0,11.0,12.0,12.5,11.7
,="King Philip Middle School",="Special Education - Teachers and Instructors",="Certified",12.0,11.1,13.0,13.0,12.0
,="Morley School",="Special Education - Teachers and Instructors",="Certified",1.5,1.5,1.5,1.5,1.6
,="Norfeldt School",="Special Education - Teachers and Instructors",="Certified",5.0,4.0,4.0,5.0,5.0
,="Sedgwick Middle School",="Special Education - Teachers and Instructors",="Certified",10.0,10.0,9.0,9.0,8.8
,="WAAVE (W Hartford Applied Academic/Voc'l Experience)",="Special Education - Teachers and Instructors",="Certified",1.5,1.5,2.5,1.5,.
,"Webster Hill School","Special Education - Teachers and Instructors","Certified",2.0,2.0,2.0,2.0,2.0
,="Whiting Lane School",="Special Education - Teachers and Instructors",="Certified",12.0,11.0,12.0,13.0,7.0
,="Wolcott School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,6.0,6.0,6.5
,="Achieve",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,.
,"Strive-West Hartford","Special Education - Teachers and Instructors","Certified",.,.,.,.,5.0
="West Haven School District",="Washington School",="Special Education - Teachers and Instructors",="Certified",5.0,5.0,4.0,4.0,5.0
,="Alma E. Pagels School",="Special Education - Teachers and Instructors",="Certified",7.0,9.0,9.0,9.0,10.0
,="Carrigan 5/6 Intermediate School",="Special Education - Teachers and Instructors",="Certified",13.0,14.0,13.0,13.2,13.2
,="Edith E. Mackrille School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,3.0,3.0,3.0
,="Forest School",="Special Education - Teachers and Instructors",="Certified",5.0,6.0,7.0,5.0,6.0
,="Harry M. Bailey Middle School",="Special Education - Teachers and Instructors",="Certified",10.0,10.0,11.0,11.5,10.5
,="Savin Rock Community School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,7.0,7.0,5.0
,="Seth G. Haley School",="Special Education - Teachers and Instructors",="Certified",5.0,4.0,4.0,7.0,6.0
,="West Haven High School",="Special Education - Teachers and Instructors",="Certified",16.5,15.5,15.5,14.8,12.8
,="Life Skills",="Special Education - Teachers and Instructors",="Certified",.,.,.,1.0,1.0
,="Other",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,0.5
,="West Haven Child Dev. Center",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Westbrook School District",="Daisy Ingraham School",="Special Education - Teachers and Instructors",="Certified",5.0,4.9,5.0,5.3,5.6
,="Westbrook High School",="Special Education - Teachers and Instructors",="Certified",2.5,2.4,3.8,3.8,4.8
,="Westbrook Middle School",="Special Education - Teachers and Instructors",="Certified",3.5,3.5,3.5,3.5,3.5
="Weston School District",="Hurlbutt Elementary School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,7.0,7.0,7.0
,="Weston High School",="Special Education - Teachers and Instructors",="Certified",5.5,5.5,6.5,5.0,5.6
,="Weston Intermediate School",="Special Education - Teachers and Instructors",="Certified",6.3,6.3,5.5,5.0,4.0
,="Weston Middle School",="Special Education - Teachers and Instructors",="Certified",7.3,7.3,6.0,6.0,5.8
="Westport School District",="Bedford Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,8.0,7.0,7.0
,="Coleytown Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.0,3.0,4.2
,="Coleytown Middle School",="Special Education - Teachers and Instructors",="Certified",6.5,7.0,5.0,5.0,4.6
,="Green's Farms School",="Special Education - Teachers and Instructors",="Certified",5.0,4.0,4.0,4.0,4.0
,="King's Highway Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,3.5,3.5,4.5
,="Long Lots School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,3.3,3.3,3.0
,="Saugatuck Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,3.0,3.5,3.5,2.0
,="Staples High School",="Special Education - Teachers and Instructors",="Certified",17.5,16.5,17.5,17.5,12.7
,="Stepping Stones Preschool",="Special Education - Teachers and Instructors",="Certified",3.7,2.7,4.7,5.7,4.0
="Wethersfield School District",="Alfred W. Hanmer School",="Special Education - Teachers and Instructors",="Certified",3.8,4.7,3.7,2.7,3.0
,="Charles Wright School",="Special Education - Teachers and Instructors",="Certified",2.0,3.0,2.0,2.0,1.0
,="Emerson-Williams School",="Special Education - Teachers and Instructors",="Certified",2.0,1.0,2.0,2.0,2.0
,="Highcrest School",="Special Education - Teachers and Instructors",="Certified",1.0,2.0,2.0,2.0,3.0
,="Samuel B. Webb Elementary School",="Special Education - Teachers and Instructors",="Certified",3.4,3.4,4.4,5.9,6.0
,="Silas Deane Middle School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,4.0
,="Wethersfield High School",="Special Education - Teachers and Instructors",="Certified",8.6,7.6,7.0,8.0,8.0
="Willington School District",="Center School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="Hall Memorial School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.0
="Wilton School District",="Middlebrook School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,8.1,9.0,9.0
,="Cider Mill School",="Special Education - Teachers and Instructors",="Certified",7.0,7.0,7.1,7.0,9.2
,="Miller-Driscoll School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,7.6,9.0,9.8
,="Wilton High School",="Special Education - Teachers and Instructors",="Certified",7.9,7.9,8.0,7.8,8.0
="Winchester School District",="Batcheller Early Education Center",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,3.0,3.0,3.0
,="Mary P. Hinsdale School",="Special Education - Teachers and Instructors",="Certified",6.0,3.0,3.0,3.0,4.0
,="Pearson Middle School",="Special Education - Teachers and Instructors",="Certified",6.0,4.0,5.0,3.0,3.0
,="WISE Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,2.0,2.0
,="Other",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,5.0
="Windham School District",="Natchaug School",="Special Education - Teachers and Instructors",="Certified",5.0,4.4,5.7,4.3,5.0
,="North Windham School",="Special Education - Teachers and Instructors",="Certified",3.1,4.1,4.3,5.3,6.0
,="W. B. Sweeney School",="Special Education - Teachers and Instructors",="Certified",4.1,4.2,4.4,4.3,4.0
,="Windham Center School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,3.3,3.3,2.0
,="Windham Early Childhood Prospect Street",="Special Education - Teachers and Instructors",="Certified",3.1,3.2,2.1,2.1,2.1
,="Windham High School",="Special Education - Teachers and Instructors",="Certified",10.1,7.1,7.0,8.0,7.0
,="Windham Middle School",="Special Education - Teachers and Instructors",="Certified",15.0,16.5,11.5,10.5,9.4
,="Eastern Regional Academy/Windham",="Special Education - Teachers and Instructors",="Certified",.,0.3,.,.,.
,"Charles H. Barrows STEM Academy","Special Education - Teachers and Instructors","Certified",.,.,.,2.1,3.1
="Windsor Locks School District",="North Street School",="Special Education - Teachers and Instructors",="Certified",7.5,5.0,4.0,4.0,5.0
,="South Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,5.0,5.0,4.0
,="Windsor Locks High School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,6.0,6.0,4.0
,="Windsor Locks Middle School",="Special Education - Teachers and Instructors",="Certified",4.5,5.0,5.0,5.0,4.0
,="Pine Meadow Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,="RISE Transition Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,2.0
="Windsor School District",="Clover Street School",="Special Education - Teachers and Instructors",="Certified",2.0,1.5,3.7,3.7,3.5
,="John F. Kennedy School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,5.2,5.2,5.0
,="Oliver Ellsworth School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,5.2,5.2,6.0
,="Poquonock Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,4.0,2.7,1.7,1.5
,="Roger Wolcott Early Child Center",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,.,.,.
,"Sage Park Middle School","Special Education - Teachers and Instructors","Certified",12.5,12.5,12.1,10.1,12.0
,="Windsor High School",="Special Education - Teachers and Instructors",="Certified",15.4,15.2,13.9,13.9,15.0
="Wolcott School District",="Alcott School",="Special Education - Teachers and Instructors",="Certified",6.0,4.0,4.0,4.0,3.0
,="Frisbie School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.0,3.0,3.0
,="Tyrrell Middle School",="Special Education - Teachers and Instructors",="Certified",8.0,8.0,8.0,6.0,8.0
,="Wakelee School",="Special Education - Teachers and Instructors",="Certified",3.0,2.0,3.0,3.0,3.0
,="Wolcott High School",="Special Education - Teachers and Instructors",="Certified",8.0,7.0,7.0,7.1,6.0
="Woodbridge School District",="Beecher Road Intermediate School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,.,.,.
,"Beecher Road Primary School","Special Education - Teachers and Instructors","Certified",5.0,4.0,.,.,.
,"Beecher Road School","Special Education - Teachers and Instructors","Certified",.,.,8.0,8.0,5.0
="Woodstock Academy District",="Woodstock Academy",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,5.0
="Woodstock School District",="Woodstock Elementary School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
,="Woodstock Middle School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.0,3.0
="Department of Mental Health and Addiction Services",="Connecticut Valley Hospital",="Special Education - Teachers and Instructors",="Certified",.,1.0,1.0,1.0,1.0
,="Greater Bridgeport Community Mental Health Center",="Special Education - Teachers and Instructors",="Certified",.,1.0,1.0,.,.
"Park City Prep Charter School District","Park City Prep Charter School","Special Education - Teachers and Instructors","Certified",.,1.0,1.0,1.0,1.6
="Side By Side Charter School District",="Side By Side Charter School",="Special Education - Teachers and Instructors",="Certified",.,1.2,1.2,1.0,1.0
="Stamford Academy District",="Stamford Academy",="Special Education - Teachers and Instructors",="Certified",.,2.0,2.5,1.5,1.0
="Great Oaks Charter School District",="Great Oaks Charter School",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Path Academy District",="Path Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0

