"FTE Staffing Report for Trend"

"",,,,"Year",,,,
"District","School","Assignment Category","Educator Type","2010-11","2011-12","2012-13","2013-14","2014-15"
="Danbury School District",="Alternative Center For Excellence",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Broadview Middle School",="Special Education - Teachers and Instructors",="Certified",11.2,12.2,13.2,12.2,13.2
,="Danbury High School",="Special Education - Teachers and Instructors",="Certified",19.6,20.2,21.8,21.8,24.2
,="Ellsworth Avenue School",="Special Education - Teachers and Instructors",="Certified",2.0,2.5,2.0,2.0,2.0
,="Great Plain School",="Special Education - Teachers and Instructors",="Certified",4.5,4.0,3.0,4.0,4.0
,="Hayestown Avenue School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,4.0,7.0,7.0
,="King Street Intermediate School",="Special Education - Teachers and Instructors",="Certified",2.6,2.6,2.0,2.0,2.0
,="King Street Primary School",="Special Education - Teachers and Instructors",="Certified",1.4,1.4,2.0,2.0,2.0
,="Mill Ridge Educational Center",="Special Education - Teachers and Instructors",="Certified",8.6,8.6,8.0,.,.
,"Mill Ridge Primary School","Special Education - Teachers and Instructors","Certified",2.8,3.0,3.0,3.0,3.0
,="Morris Street School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,3.0,4.0,4.0
,="Park Avenue School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,1.0,2.0,2.0
,="Pembroke School",="Special Education - Teachers and Instructors",="Certified",6.0,6.0,7.2,7.2,7.2
,="Rogers Park Middle School",="Special Education - Teachers and Instructors",="Certified",11.4,11.0,10.0,12.0,10.0
,="Shelter Rock School",="Special Education - Teachers and Instructors",="Certified",1.8,0.8,1.8,1.8,1.8
,="South Street School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,="Stadley Rough School",="Special Education - Teachers and Instructors",="Certified",2.5,2.5,2.0,2.0,2.0
,="Western CT Academy of International Studies Elementary Magnet School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.5
,="DPS Early Childhood Center",="Special Education - Teachers and Instructors",="Certified",.,.,.,4.0,4.0
,="Other",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,4.2
,="Westside Middle School Academy",="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.5
="Darien School District",="Darien High School",="Special Education - Teachers and Instructors",="Certified",13.3,11.5,12.5,11.7,6.5
,="Hindley Elementary School",="Special Education - Teachers and Instructors",="Certified",6.2,7.1,9.1,8.7,6.2
,="Holmes Elementary School",="Special Education - Teachers and Instructors",="Certified",7.0,5.1,6.1,5.2,5.4
,="Middlesex Middle School",="Special Education - Teachers and Instructors",="Certified",16.3,18.4,16.4,16.2,14.4
,="Ox Ridge Elementary School",="Special Education - Teachers and Instructors",="Certified",9.3,8.4,10.4,9.2,9.4
,="Royle Elementary School",="Special Education - Teachers and Instructors",="Certified",3.8,4.9,5.1,6.8,9.0
,="Tokeneke Elementary School",="Special Education - Teachers and Instructors",="Certified",5.8,7.9,8.7,8.0,9.8
="Deep River School District",="Deep River Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,4.0,3.3
="Derby School District",="Bradley School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,2.0,4.0,4.0
,="Derby High School",="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.6,3.6
,="Derby Middle School",="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,3.0,3.0
,="Irving School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,5.0,5.0,5.0
="East Granby School District",="Allgrove School",="Special Education - Teachers and Instructors",="Certified",1.5,1.5,1.5,2.5,2.8
,="East Granby High School",="Special Education - Teachers and Instructors",="Certified",4.0,3.5,4.0,4.0,3.8
,="East Granby Middle School",="Special Education - Teachers and Instructors",="Certified",2.2,2.0,2.0,2.0,2.5
,="R. Dudley Seymour School",="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.5,1.5,1.0
="East Haddam School District",="East Haddam Elementary School",="Special Education - Teachers and Instructors",="Certified",4.0,4.0,4.0,3.5,3.0
,="Nathan Hale-Ray High School",="Special Education - Teachers and Instructors",="Certified",4.0,5.0,5.0,6.0,5.0
,="Nathan Hale-Ray Middle School",="Special Education - Teachers and Instructors",="Certified",5.6,4.6,4.6,4.6,4.0
