"FTE Staffing Report for 2010-11"

"District","School","Assignment Category","Educator Type","FTE Count"
,="Jack Jackter Intermediate School",="General Education - Teachers and Instructors",="Certified",40.5
,="William J. Johnston Middle School",="General Education - Teachers and Instructors",="Certified",48.2
="Colebrook School District",="Colebrook Consolidated School",="General Education - Teachers and Instructors",="Certified",8.2
="Columbia School District",="Horace W. Porter School",="General Education - Teachers and Instructors",="Certified",41.8
="Common Ground High School District",="Common Ground High School",="General Education - Teachers and Instructors",="Certified",12.5
="Connecticut Technical High School System",="A. I. Prince Technical High School",="General Education - Teachers and Instructors",="Certified",73.6
,="Bristol Technical Education Center",="General Education - Teachers and Instructors",="Certified",11.8
,="Bullard-Havens Technical High School",="General Education - Teachers and Instructors",="Certified",77.0
,="E. C. Goodwin Technical High School",="General Education - Teachers and Instructors",="Certified",61.0
,="Eli Whitney Technical High School",="General Education - Teachers and Instructors",="Certified",52.6
,="Ella T. Grasso Southeastern Technical High School",="General Education - Teachers and Instructors",="Certified",56.9
,="Emmett O'Brien Technical High School",="General Education - Teachers and Instructors",="Certified",44.6
,="H. C. Wilcox Technical High School",="General Education - Teachers and Instructors",="Certified",64.4
,="H. H. Ellis Technical High School",="General Education - Teachers and Instructors",="Certified",46.4
,="Henry Abbott Technical High School",="General Education - Teachers and Instructors",="Certified",53.0
,="Howell Cheney Technical High School",="General Education - Teachers and Instructors",="Certified",54.6
,="Norwich Technical High School",="General Education - Teachers and Instructors",="Certified",50.5
,="Oliver Wolcott Technical High School",="General Education - Teachers and Instructors",="Certified",59.7
,="Platt Technical High School",="General Education - Teachers and Instructors",="Certified",65.2
,="Vinal Technical High School",="General Education - Teachers and Instructors",="Certified",48.9
,="W. F. Kaynor Technical High School",="General Education - Teachers and Instructors",="Certified",63.5
,="Windham Technical High School",="General Education - Teachers and Instructors",="Certified",50.3
="Cooperative Educational Services",="C. E. S. Special Education",="General Education - Teachers and Instructors",="Certified",3.5
,="Six-Six Magnet School",="General Education - Teachers and Instructors",="Certified",38.0
="Cornwall School District",="Cornwall Consolidated School",="General Education - Teachers and Instructors",="Certified",14.8
="Coventry School District",="Capt. Nathan Hale School",="General Education - Teachers and Instructors",="Certified",31.4
,="Coventry Grammar School",="General Education - Teachers and Instructors",="Certified",19.9
,="Coventry High School",="General Education - Teachers and Instructors",="Certified",32.4
,="George Hersey Robertson School",="General Education - Teachers and Instructors",="Certified",24.6
="Cromwell School District",="Cromwell High School",="General Education - Teachers and Instructors",="Certified",36.8
,="Cromwell Middle School",="General Education - Teachers and Instructors",="Certified",35.3
,="Edna C. Stevens School",="General Education - Teachers and Instructors",="Certified",29.7
,="Woodside Intermediate School",="General Education - Teachers and Instructors",="Certified",26.9
="Danbury School District",="Alternative Center For Excellence",="General Education - Teachers and Instructors",="Certified",7.2
,="Broadview Middle School",="General Education - Teachers and Instructors",="Certified",61.3
,="Danbury High School",="General Education - Teachers and Instructors",="Certified",150.2
,="Ellsworth Avenue School",="General Education - Teachers and Instructors",="Certified",24.1
,="Great Plain School",="General Education - Teachers and Instructors",="Certified",17.3
,="Hayestown Avenue School",="General Education - Teachers and Instructors",="Certified",23.7
,="King Street Intermediate School",="General Education - Teachers and Instructors",="Certified",20.1
,="King Street Primary School",="General Education - Teachers and Instructors",="Certified",21.0
,="Mill Ridge Primary School",="General Education - Teachers and Instructors",="Certified",21.3
,="Morris Street School",="General Education - Teachers and Instructors",="Certified",20.0
,="Park Avenue School",="General Education - Teachers and Instructors",="Certified",23.3
,="Pembroke School",="General Education - Teachers and Instructors",="Certified",20.1
,="Rogers Park Middle School",="General Education - Teachers and Instructors",="Certified",69.6
,="Shelter Rock School",="General Education - Teachers and Instructors",="Certified",22.0
,="South Street School",="General Education - Teachers and Instructors",="Certified",21.5
,="Stadley Rough School",="General Education - Teachers and Instructors",="Certified",26.1
,="Western CT Academy of International Studies Elementary Magnet School",="General Education - Teachers and Instructors",="Certified",22.9
="Darien School District",="Darien High School",="General Education - Teachers and Instructors",="Certified",99.8
,="Hindley Elementary School",="General Education - Teachers and Instructors",="Certified",30.5
,="Holmes Elementary School",="General Education - Teachers and Instructors",="Certified",25.7
,="Middlesex Middle School",="General Education - Teachers and Instructors",="Certified",88.7
,="Ox Ridge Elementary School",="General Education - Teachers and Instructors",="Certified",28.1
,="Royle Elementary School",="General Education - Teachers and Instructors",="Certified",25.6
,="Tokeneke Elementary School",="General Education - Teachers and Instructors",="Certified",24.2
="Deep River School District",="Deep River Elementary School",="General Education - Teachers and Instructors",="Certified",26.6
="Derby School District",="Bradley School",="General Education - Teachers and Instructors",="Certified",21.3
,="Derby High School",="General Education - Teachers and Instructors",="Certified",27.2
,="Derby Middle School",="General Education - Teachers and Instructors",="Certified",15.6
,="Irving School",="General Education - Teachers and Instructors",="Certified",25.3
="East Granby School District",="Allgrove School",="General Education - Teachers and Instructors",="Certified",13.8
,="East Granby High School",="General Education - Teachers and Instructors",="Certified",21.9
,="East Granby Middle School",="General Education - Teachers and Instructors",="Certified",15.9
,="R. Dudley Seymour School",="General Education - Teachers and Instructors",="Certified",9.6
="East Haddam School District",="East Haddam Elementary School",="General Education - Teachers and Instructors",="Certified",22.6
,="Nathan Hale-Ray High School",="General Education - Teachers and Instructors",="Certified",30.6
,="Nathan Hale-Ray Middle School",="General Education - Teachers and Instructors",="Certified",37.8
="East Hampton School District",="Center School",="General Education - Teachers and Instructors",="Certified",17.0
,="East Hampton High School",="General Education - Teachers and Instructors",="Certified",37.9
,="East Hampton Middle School",="General Education - Teachers and Instructors",="Certified",33.6
,="Memorial School",="General Education - Teachers and Instructors",="Certified",34.9
="East Hartford School District",="Anna E. Norris School",="General Education - Teachers and Instructors",="Certified",19.3
,="Connecticut IB Academy",="General Education - Teachers and Instructors",="Certified",12.7
,="Dr. Franklin H. Mayberry School",="General Education - Teachers and Instructors",="Certified",24.5
,="Dr. John A. Langford School",="General Education - Teachers and Instructors",="Certified",22.2
,="Dr. Thomas S. O'Connell School",="General Education - Teachers and Instructors",="Certified",20.8
,="East Hartford High School",="General Education - Teachers and Instructors",="Certified",119.0
,="East Hartford Middle School",="General Education - Teachers and Instructors",="Certified",76.5
,="Governor William Pitkin School",="General Education - Teachers and Instructors",="Certified",24.4
,="Hockanum School",="General Education - Teachers and Instructors",="Certified",20.8
,="Joseph O. Goodwin School",="General Education - Teachers and Instructors",="Certified",24.1
,="Robert J. O'Brien School",="General Education - Teachers and Instructors",="Certified",25.8
,="Silver Lane School",="General Education - Teachers and Instructors",="Certified",21.0
,="Stevens Alternate High School",="General Education - Teachers and Instructors",="Certified",9.0
,="Sunset Ridge School Elementary Academy for Arts and World Languages",="General Education - Teachers and Instructors",="Certified",27.8
,="Willowbrook Early Childhood",="General Education - Teachers and Instructors",="Certified",12.6
,="Woodland School",="General Education - Teachers and Instructors",="Certified",6.2
="East Haven School District",="Carbone School/East Haven Academy",="General Education - Teachers and Instructors",="Certified",17.6
,="D. C. Moore School",="General Education - Teachers and Instructors",="Certified",12.5
,="Deer Run School",="General Education - Teachers and Instructors",="Certified",16.2
,="Dominick H. Ferrara School",="General Education - Teachers and Instructors",="Certified",14.5
,="East Haven High School",="General Education - Teachers and Instructors",="Certified",62.7
,="Grove J. Tuttle School",="General Education - Teachers and Instructors",="Certified",13.5
,="Joseph Melillo Middle School",="General Education - Teachers and Instructors",="Certified",45.4
,="Momauguin School",="General Education - Teachers and Instructors",="Certified",11.8
,="Overbrook Elementary School",="General Education - Teachers and Instructors",="Certified",12.2
="East Lyme School District",="East Lyme High School",="General Education - Teachers and Instructors",="Certified",85.4
,="East Lyme Middle School",="General Education - Teachers and Instructors",="Certified",59.1
,="Flanders School",="General Education - Teachers and Instructors",="Certified",21.4
,="Lillie B. Haynes School",="General Education - Teachers and Instructors",="Certified",21.7
,="Niantic Center School",="General Education - Teachers and Instructors",="Certified",15.8
="East Windsor School District",="Broad Brook Elementary School",="General Education - Teachers and Instructors",="Certified",29.2
,="East Windsor High School",="General Education - Teachers and Instructors",="Certified",28.9
,="East Windsor Middle School",="General Education - Teachers and Instructors",="Certified",27.0
="Eastern Connecticut Regional Educational Service Center (EASTCONN)",="Arts at the Capitol Theater",="General Education - Teachers and Instructors",="Certified",0.7
,="Arts at the Capitol Theater Magnet School (ACT)",="General Education - Teachers and Instructors",="Certified",7.6
,="EastConn Special Education",="General Education - Teachers and Instructors",="Certified",2.6
,="Quinebaug Middle College",="General Education - Teachers and Instructors",="Certified",9.6
="Eastford School District",="Eastford Elementary School",="General Education - Teachers and Instructors",="Certified",13.9
="Easton School District",="Helen Keller Middle School",="General Education - Teachers and Instructors",="Certified",25.8
,="Samuel Staples Elementary School",="General Education - Teachers and Instructors",="Certified",39.9
="EdAdvance",="GFLC/ACCESS School",="General Education - Teachers and Instructors",="Certified",6.0
="Ellington School District",="Center School",="General Education - Teachers and Instructors",="Certified",19.1
,="Crystal Lake School",="General Education - Teachers and Instructors",="Certified",11.3
,="Ellington High School",="General Education - Teachers and Instructors",="Certified",54.3
,="Ellington Middle School",="General Education - Teachers and Instructors",="Certified",27.8
,="Windermere Intermediate School",="General Education - Teachers and Instructors",="Certified",19.6
,="Windermere School",="General Education - Teachers and Instructors",="Certified",21.2
="Elm City College Preparatory School District",="Elm City College Preparatory School",="General Education - Teachers and Instructors",="Certified",38.0
="Enfield School District",="Edgar H. Parkman School",="General Education - Teachers and Instructors",="Certified",18.6
,="Eli Whitney School",="General Education - Teachers and Instructors",="Certified",23.9
,="Enfield High School",="General Education - Teachers and Instructors",="Certified",56.9
,="Enfield Street School",="General Education - Teachers and Instructors",="Certified",23.0
,="Enrico Fermi High School",="General Education - Teachers and Instructors",="Certified",72.5
,="Harriet Beecher Stowe School",="General Education - Teachers and Instructors",="Certified",18.7
,="Hazardville Memorial School",="General Education - Teachers and Instructors",="Certified",21.3
,="Head Start Program",="General Education - Teachers and Instructors",="Certified",7.4
,="Henry Barnard School",="General Education - Teachers and Instructors",="Certified",29.6
,="John F. Kennedy Middle School",="General Education - Teachers and Instructors",="Certified",61.0
,="Nathan Hale School",="General Education - Teachers and Instructors",="Certified",17.6
,="Prudence Crandall School",="General Education - Teachers and Instructors",="Certified",22.7
,="Thomas G. Alcorn School",="General Education - Teachers and Instructors",="Certified",19.5
="Essex School District",="Essex Elementary School",="General Education - Teachers and Instructors",="Certified",38.3
="Explorations District",="Explorations",="General Education - Teachers and Instructors",="Certified",6.8
="Fairfield School District",="Burr Elementary School",="General Education - Teachers and Instructors",="Certified",25.1
,="Dwight Elementary School",="General Education - Teachers and Instructors",="Certified",20.3
,="Early Childhood Center",="General Education - Teachers and Instructors",="Certified",0.4
,="Fairfield Ludlowe High School",="General Education - Teachers and Instructors",="Certified",106.6
,="Fairfield Warde High School",="General Education - Teachers and Instructors",="Certified",96.3
,="Fairfield Woods Middle School",="General Education - Teachers and Instructors",="Certified",50.4
,="Holland Hill School",="General Education - Teachers and Instructors",="Certified",22.4
,="Jennings School",="General Education - Teachers and Instructors",="Certified",22.6
,="McKinley School",="General Education - Teachers and Instructors",="Certified",36.1
,="Mill Hill School",="General Education - Teachers and Instructors",="Certified",29.9
,="North Stratfield School",="General Education - Teachers and Instructors",="Certified",28.5
,="Osborn Hill School",="General Education - Teachers and Instructors",="Certified",33.3
,="Riverfield School",="General Education - Teachers and Instructors",="Certified",26.1
,="Roger Ludlowe Middle School",="General Education - Teachers and Instructors",="Certified",74.5
,="Sherman School",="General Education - Teachers and Instructors",="Certified",26.2
,="Stratfield School",="General Education - Teachers and Instructors",="Certified",29.6
,="Tomlinson Middle School",="General Education - Teachers and Instructors",="Certified",56.7
="Farmington School District",="East Farms School",="General Education - Teachers and Instructors",="Certified",27.0
,="Farmington High School",="General Education - Teachers and Instructors",="Certified",86.4
,="Irving A. Robbins Middle School",="General Education - Teachers and Instructors",="Certified",46.4
,="Noah Wallace School",="General Education - Teachers and Instructors",="Certified",21.8
,="Union School",="General Education - Teachers and Instructors",="Certified",18.7
,="West District School",="General Education - Teachers and Instructors",="Certified",21.3
,="West Woods Upper Elementary School",="General Education - Teachers and Instructors",="Certified",43.2
="Franklin School District",="Franklin Elementary School",="General Education - Teachers and Instructors",="Certified",15.5
="Glastonbury School District",="Buttonball Lane School",="General Education - Teachers and Instructors",="Certified",32.8
,="Eastbury School",="General Education - Teachers and Instructors",="Certified",18.6
,="Gideon Welles School",="General Education - Teachers and Instructors",="Certified",26.8
,="Glastonbury High School",="General Education - Teachers and Instructors",="Certified",123.4
,="Hebron Avenue School",="General Education - Teachers and Instructors",="Certified",33.5
,="Hopewell School",="General Education - Teachers and Instructors",="Certified",30.1
,="Naubuc School",="General Education - Teachers and Instructors",="Certified",31.1
,="Nayaug Elementary School",="General Education - Teachers and Instructors",="Certified",35.7
,="Smith Middle School",="General Education - Teachers and Instructors",="Certified",62.5
="Granby School District",="Frank M. Kearns Primary School",="General Education - Teachers and Instructors",="Certified",23.1
,="Granby Memorial High School",="General Education - Teachers and Instructors",="Certified",50.4
,="Granby Memorial Middle School",="General Education - Teachers and Instructors",="Certified",24.6
,="Kelly Lane Primary School",="General Education - Teachers and Instructors",="Certified",17.9
,="Wells Road Intermediate School",="General Education - Teachers and Instructors",="Certified",18.7
="Greenwich School District",="Central Middle School",="General Education - Teachers and Instructors",="Certified",45.1
,="Cos Cob School",="General Education - Teachers and Instructors",="Certified",30.1
,="Eastern Middle School",="General Education - Teachers and Instructors",="Certified",56.6
,="Glenville School",="General Education - Teachers and Instructors",="Certified",26.8
,="Greenwich High School",="General Education - Teachers and Instructors",="Certified",180.2
,="Hamilton Avenue School",="General Education - Teachers and Instructors",="Certified",35.1
,="International School At Dundee",="General Education - Teachers and Instructors",="Certified",26.0
,="Julian Curtiss School",="General Education - Teachers and Instructors",="Certified",27.2
,="New Lebanon School",="General Education - Teachers and Instructors",="Certified",19.1
,="North Mianus School",="General Education - Teachers and Instructors",="Certified",35.3
,="North Street School",="General Education - Teachers and Instructors",="Certified",29.8
,="Old Greenwich School",="General Education - Teachers and Instructors",="Certified",29.0
,="Parkway School",="General Education - Teachers and Instructors",="Certified",22.4
,="Riverside School",="General Education - Teachers and Instructors",="Certified",36.4
,="Western Middle School",="General Education - Teachers and Instructors",="Certified",35.7
="Griswold School District",="Griswold Elementary School",="General Education - Teachers and Instructors",="Certified",47.3
,="Griswold High School",="General Education - Teachers and Instructors",="Certified",49.6
,="Griswold Middle School",="General Education - Teachers and Instructors",="Certified",31.8
="Groton School District",="Carl C. Cutler Middle School",="General Education - Teachers and Instructors",="Certified",33.5
,="Catherine Kolnaski Magnet School",="General Education - Teachers and Instructors",="Certified",34.5
,="Charles Barnum School",="General Education - Teachers and Instructors",="Certified",23.0
,="Claude Chester School",="General Education - Teachers and Instructors",="Certified",26.5
,="Fitch Middle School",="General Education - Teachers and Instructors",="Certified",39.7
,="Mary Morrisson School",="General Education - Teachers and Instructors",="Certified",19.0
,="Northeast Academy Elementary School",="General Education - Teachers and Instructors",="Certified",22.0
,="Pleasant Valley School",="General Education - Teachers and Instructors",="Certified",21.5
,="Robert E. Fitch High School",="General Education - Teachers and Instructors",="Certified",91.3
,="S. B. Butler School",="General Education - Teachers and Instructors",="Certified",21.2
,="West Side Middle School",="General Education - Teachers and Instructors",="Certified",25.2
="Guilford School District",="A. Baldwin Middle School",="General Education - Teachers and Instructors",="Certified",39.6
,="A. W. Cox School",="General Education - Teachers and Instructors",="Certified",21.6
,="Calvin Leete School",="General Education - Teachers and Instructors",="Certified",19.9
,="E. C. Adams Middle School",="General Education - Teachers and Instructors",="Certified",46.6
,="Guilford High School",="General Education - Teachers and Instructors",="Certified",74.6
,="Guilford Lakes School",="General Education - Teachers and Instructors",="Certified",21.6
,="Melissa Jones School",="General Education - Teachers and Instructors",="Certified",21.7
="Hamden School District",="Alice Peck Learning Center",="General Education - Teachers and Instructors",="Certified",0.2
,="Bear Path School",="General Education - Teachers and Instructors",="Certified",29.5
,="Church Street School",="General Education - Teachers and Instructors",="Certified",24.7
,="Dunbar Hill School",="General Education - Teachers and Instructors",="Certified",21.5
,="Hamden High School",="General Education - Teachers and Instructors",="Certified",136.7
,="Hamden Middle School",="General Education - Teachers and Instructors",="Certified",74.4
,="Helen Street School",="General Education - Teachers and Instructors",="Certified",18.5
,="Ridge Hill School",="General Education - Teachers and Instructors",="Certified",22.1
,="Shepherd Glen School",="General Education - Teachers and Instructors",="Certified",20.2
