"Total Expenditures Used for Special Education, 2005-06"
"All Districts"

"","_","_","_","_","_","_","_","_","_","_","_"
"Organization","Certified Personnel","Noncertified Personnel","Employee Benefits","Purchased Services","Tuition to Other Schools","Instructional Supplies","Property Services","Transportation","Equipment","Other Expenditures","Total Expenditures"
="Thompson School District",797190,437271,336190,82932,815615,8927,0,102080,360,1201,2584948
="Tolland School District",1578050,768356,573168,2040,1718525,11734,0,337975,17495,0,5025807
="Torrington School District",3688143,2214078,1786505,339454,2970914,45905,0,842494,9082,5687,11902262
="Trumbull School District",5979811,1910101,2011001,380864,1556673,56912,0,1080232,83331,1552,13061700
="Union School District",36169,18281,13115,17460,2527,954,0,0,0,0,88506
="Vernon School District",3603475,1209331,1047297,490110,2738681,36520,5730,1067677,21385,23023,10249752
="Voluntown School District",209321,363113,84345,115797,701720,6102,10025,42650,966,0,1541039
="Wallingford School District",7252943,2423273,1241869,1021309,3344315,121405,66314,1844164,58510,234,17374336
="Waterbury School District",16562651,7775421,10204155,2709181,6193492,240072,11924,3300794,0,0,47035817
="Waterford School District",2889033,1198147,1083992,536039,1348985,106759,0,508846,50915,35888,7773015
="Watertown School District",2405969,965631,378988,401224,510100,16825,1484,566691,0,379,5247306
="West Hartford School District",10769909,2874713,4085772,226707,2506470,193163,35075,1553671,0,3366,22249150
="West Haven School District",6286204,2455049,1882306,300604,4966209,44606,0,1200816,96,5443,17152498
="Westbrook School District",829243,281398,338950,101977,123747,10442,723,78907,2186,30,1767603
="Weston School District",2709860,1017010,706255,976313,1582690,18847,0,375105,6204,7761,7423784
="Westport School District",6655431,2427602,1367281,460625,2285998,124282,0,802450,48866,31354,14203889
="Wethersfield School District",3002165,1496731,866452,225468,1355830,44447,0,1038892,21252,961,8052198
="Willington School District",622763,143618,227289,224611,0,24230,23354,1920,1321,1362,1270647
="Wilton School District",4304252,2587620,1497958,782922,1372247,90459,0,368178,0,454,11004705
="Winchester School District",1136033,506318,351133,545222,1573673,9675,0,355469,0,0,4483078
="Windham School District",5226132,1993671,1688899,564984,1709495,52612,210632,581139,1148,0,12057225
="Windsor Locks School District",1868485,1139315,416580,201507,944460,18606,0,411578,9224,0,5011246
="Windsor School District",4504339,1434884,1390475,166681,2194940,25626,0,707253,30442,0,10454640
="Wolcott School District",2114881,645354,489700,232279,1031594,23785,0,452883,627,6731,5001741
="Woodbridge School District",933344,332768,302489,182006,371992,3394,4344,87004,6793,4098,2228960
="Woodstock School District",735012,587986,248481,160467,716339,8175,7880,43624,36123,287,2545333

