"Six-Year Graduation Rates, Trend"
"All Districts, Special Education Status"

"",,"Graduates",,
"",,"Six-Year Graduation Rate by Year",,
"District","Special Education Status","2010-11","2011-12","2012-13"
"Tolland School District","Non-Special Education",94.7,98.1,95.9
"Tolland School District","Special Education",100.0,95.7,81.0
"Torrington School District","Non-Special Education",84.1,85.2,90.0
"Torrington School District","Special Education",71.9,76.1,90.9
"Trumbull School District","Non-Special Education",99.4,99.0,99.0
"Trumbull School District","Special Education",94.6,88.1,97.0
"Unified School District #1","Non-Special Education","*",1.8,"*"
"Unified School District #1","Special Education","*",5.4,"*"
"Unified School District #2","Non-Special Education",58.3,"*",30.0
"Unified School District #2","Special Education",52.6,"*",50.0
"Vernon School District","Non-Special Education",85.4,88.6,88.7
"Vernon School District","Special Education",73.3,64.0,67.6
"Wallingford School District","Non-Special Education",91.1,95.9,95.5
"Wallingford School District","Special Education",83.1,71.8,77.1
"Waterbury School District","Non-Special Education",70.2,69.1,72.0
"Waterbury School District","Special Education",64.9,57.8,59.3
"Waterford School District","Non-Special Education",93.3,95.2,97.1
"Waterford School District","Special Education",88.2,84.4,76.5
"Watertown School District","Non-Special Education",94.9,94.2,92.8
"Watertown School District","Special Education",64.5,85.2,82.4
"West Hartford School District","Non-Special Education",95.2,96.8,96.6
"West Hartford School District","Special Education",82.2,89.2,88.4
"West Haven School District","Non-Special Education",72.5,77.2,73.4
"West Haven School District","Special Education",65.8,68.1,62.5
"Westbrook School District","Non-Special Education",97.1,94.7,97.2
"Westbrook School District","Special Education",85.7,100.0,85.7
"Weston School District","Non-Special Education",100.0,100.0,100.0
"Weston School District","Special Education",84.6,100.0,90.9
"Westport School District","Non-Special Education",99.0,99.2,100.0
"Westport School District","Special Education",92.7,95.1,98.2
"Wethersfield School District","Non-Special Education",95.0,94.7,95.9
"Wethersfield School District","Special Education",79.2,80.8,68.0
"Wilton School District","Non-Special Education",100.0,100.0,98.9
"Wilton School District","Special Education",92.3,93.5,90.0
"Windham School District","Non-Special Education",70.8,80.6,85.9
"Windham School District","Special Education",69.6,68.8,80.6
"Windsor Locks School District","Non-Special Education",90.2,94.8,94.4
"Windsor Locks School District","Special Education",83.3,92.3,86.7
"Windsor School District","Non-Special Education",89.3,92.4,93.0
"Windsor School District","Special Education",76.2,79.5,78.3
"Wolcott School District","Non-Special Education",95.2,95.9,96.4
"Wolcott School District","Special Education",94.4,96.2,87.0
"Woodstock Academy District","Non-Special Education",95.3,95.9,97.7
"Woodstock Academy District","Special Education",91.7,94.1,75.0

