"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"New Haven School District","=""0930011""","Beecher School","=""0930311""",94,93,98.9,93,33,35.5,17,18.3,28,30.1,"*","*","*","*",15,16.1
"New Haven School District","=""0930011""","Clinton Avenue School","=""0930611""",108,108,100.0,108,42,38.9,26,24.1,"*","*",20,18.5,"*","*","*","*"
"New Haven School District","=""0930011""","Hill Central Music Academy","=""0930711""",104,104,100.0,104,41,39.4,24,23.1,21,20.2,"*","*","*","*",18,17.3
"New Haven School District","=""0930011""","John S. Martinez School","=""0930811""",107,107,100.0,107,34,31.8,30,28.0,23,21.5,20,18.7,0,0.0,20,18.7
"New Haven School District","=""0930011""","Davis 21st Century Magnet Elementary School","=""0930911""",94,94,100.0,94,27,28.7,16,17.0,18,19.1,27,28.7,6,6.4,33,35.1
"New Haven School District","=""0930011""","Ross/Woodward School","=""0931011""",130,130,100.0,130,36,27.7,"*","*",40,30.8,31,23.8,"*","*","*","*"
"New Haven School District","=""0930011""","John C. Daniels","=""0931311""",91,91,100.0,91,20,22.0,15,16.5,18,19.8,26,28.6,12,13.2,38,41.8
"New Haven School District","=""0930011""","Augusta Lewis Troup School","=""0931511""",102,99,97.1,99,48,48.5,24,24.2,19,19.2,8,8.1,0,0.0,8,8.1
"New Haven School District","=""0930011""","Fair Haven School","=""0931611""",177,173,97.7,173,92,53.2,38,22.0,28,16.2,"*","*","*","*",15,8.7
"New Haven School District","=""0930011""","Engineering - Science University Magnet School","=""0931711""",185,185,100.0,184,12,6.5,20,10.9,39,21.2,65,35.3,48,26.1,113,61.4
"New Haven School District","=""0930011""","Benjamin Jepson Magnet School","=""0931811""",100,100,100.0,100,26,26.0,26,26.0,"*","*",28,28.0,"*","*","*","*"
"New Haven School District","=""0930011""","Mauro-Sheridan Magnet School","=""0931911""",91,91,100.0,91,"*","*","*","*",23,25.3,36,39.6,15,16.5,51,56.0
"New Haven School District","=""0930011""","Lincoln-Bassett School","=""0932011""",32,32,100.0,32,"*","*",11,34.4,10,31.3,"*","*",0,0.0,"*","*"
"New Haven School District","=""0930011""","Katherine Brennan/Clarence Rogers School","=""0932111""",64,64,100.0,64,28,43.8,13,20.3,12,18.8,"*","*","*","*",11,17.2
"New Haven School District","=""0930011""","New Horizons High School","=""0932211""",23,9,39.1,7,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Blake Street Leadership Academy (STEP)","=""0932411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","New Light High School","=""0932611""",14,"*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Truman School","=""0932911""",117,116,99.1,116,44,37.9,25,21.6,28,24.1,"*","*","*","*",19,16.4
"New Haven School District","=""0930011""","King/Robinson Magnet School","=""0933011""",101,101,100.0,101,35,34.7,29,28.7,17,16.8,14,13.9,6,5.9,20,19.8
"New Haven School District","=""0930011""","Conte/West Hills Magnet School","=""0933111""",130,130,100.0,130,31,23.8,37,28.5,"*","*",29,22.3,"*","*","*","*"
"New Haven School District","=""0930011""","Wexler/Grant Community School","=""0933211""",83,81,97.6,81,30,37.0,22,27.2,20,24.7,"*","*","*","*",9,11.1
"New Haven School District","=""0930011""","Worthington Hooker School","=""0933811""",92,91,98.9,91,"*","*","*","*",14,15.4,33,36.3,35,38.5,68,74.7
"New Haven School District","=""0930011""","Columbus Family Academy","=""0934111""",85,85,100.0,85,19,22.4,16,18.8,30,35.3,20,23.5,0,0.0,20,23.5
"New Haven School District","=""0930011""","Clemente Leadership Academy","=""0934211""",107,107,100.0,107,55,51.4,23,21.5,21,19.6,8,7.5,0,0.0,8,7.5
"New Haven School District","=""0930011""","Bishop Woods School","=""0934311""",101,100,99.0,100,30,30.0,24,24.0,25,25.0,"*","*","*","*",21,21.0
"New Haven School District","=""0930011""","East Rock Community Magnet School","=""0934611""",92,91,98.9,91,29,31.9,23,25.3,21,23.1,"*","*","*","*",18,19.8
"New Haven School District","=""0930011""","Celentano BioTech, Health and Medical Magnet School","=""0934811""",67,66,98.5,66,21,31.8,15,22.7,17,25.8,"*","*","*","*",13,19.7
"New Haven School District","=""0930011""","Betsy Ross Arts Magnet School","=""0935511""",214,214,100.0,214,48,22.4,43,20.1,50,23.4,58,27.1,15,7.0,73,34.1
"New Haven School District","=""0930011""","Domus Academy","=""0935611""",13,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Metropolitan Business Academy","=""0936011""",102,96,94.1,96,23,24.0,30,31.3,31,32.3,"*","*","*","*",12,12.5
"New Haven School District","=""0930011""","Wilbur Cross High School","=""0936111""",372,300,80.6,288,104,36.1,59,20.5,78,27.1,19,6.6,28,9.7,47,16.3
"New Haven School District","=""0930011""","James Hillhouse High School","=""0936211""",234,188,80.3,182,88,48.4,53,29.1,37,20.3,"*","*","*","*","*","*"
"New Haven School District","=""0930011""","Hill Regional Career High School","=""0936311""",172,170,98.8,169,20,11.8,56,33.1,54,32.0,20,11.8,19,11.2,39,23.1
"New Haven School District","=""0930011""","Cooperative High School","=""0936411""",168,163,97.0,162,23,14.2,36,22.2,64,39.5,18,11.1,21,13.0,39,24.1
"New Haven School District","=""0930011""","High School In The Community","=""0936611""",72,71,98.6,71,22,31.0,21,29.6,20,28.2,"*","*","*","*",8,11.3
"New Haven School District","=""0930011""","Sound School","=""0936711""",91,86,94.5,84,"*","*","*","*",24,28.6,34,40.5,14,16.7,48,57.1
"New Haven School District","=""0930011""","Hyde School of Health, Science and Sports Medicine","=""0936811""",54,52,96.3,52,14,26.9,16,30.8,15,28.8,"*","*","*","*",7,13.5
"New Haven School District","=""0930011""","New Haven Academy","=""0937011""",66,65,98.5,60,15,25.0,16,26.7,22,36.7,"*","*","*","*",7,11.7
"New Haven School District","=""0930011""","Riverside Education Academy","=""0939111""",12,8,"*",7,"*","*","*","*","*","*","*","*","*","*","*","*"
"New Haven School District","=""0930011""","Polly T. McCabe Center","=""0939211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"New London School District","=""0950011""","Jennings School","=""0950311""",86,86,100.0,86,23,26.7,26,30.2,20,23.3,15,17.4,"*","*","*","*"
"New London School District","=""0950011""","Winthrop STEM Elementary Magnet School","=""0950811""",78,77,98.7,77,13,16.9,13,16.9,13,16.9,24,31.2,14,18.2,38,49.4
"New London School District","=""0950011""","Nathan Hale Arts Magnet School","=""0950911""",90,89,98.9,89,"*","*",20,22.5,23,25.8,31,34.8,"*","*","*","*"
"New London School District","=""0950011""","Bennie Dover Jackson Middle School","=""0955111""",199,194,97.5,194,63,32.5,26,13.4,31,16.0,57,29.4,17,8.8,74,38.1
"New London School District","=""0950011""","New London High School","=""0956111""",235,218,92.8,216,54,25.0,43,19.9,65,30.1,24,11.1,30,13.9,54,25.0
"New Milford School District","=""0960011""","Sarah Noble Intermediate School","=""0960911""",334,332,99.4,332,17,5.1,22,6.6,76,22.9,157,47.3,60,18.1,217,65.4
"New Milford School District","=""0960011""","Schaghticoke Middle School","=""0965211""",354,354,100.0,353,20,5.7,26,7.4,56,15.9,190,53.8,61,17.3,251,71.1
"New Milford School District","=""0960011""","New Milford High School","=""0966111""",361,343,95.0,342,12,3.5,21,6.1,110,32.2,86,25.1,113,33.0,199,58.2
"Newington School District","=""0940011""","Martin Kellogg Middle School","=""0945111""",305,304,99.7,304,16,5.3,21,6.9,71,23.4,152,50.0,44,14.5,196,64.5
"Newington School District","=""0940011""","John Wallace Middle School","=""0945311""",321,321,100.0,321,14,4.4,21,6.5,59,18.4,151,47.0,76,23.7,227,70.7
"Newington School District","=""0940011""","Newington High School","=""0946111""",297,295,99.3,295,22,7.5,29,9.8,108,36.6,70,23.7,66,22.4,136,46.1
"Newtown School District","=""0970011""","Reed Intermediate School","=""0970511""",339,338,99.7,338,6,1.8,21,6.2,53,15.7,199,58.9,59,17.5,258,76.3
"Newtown School District","=""0970011""","Newtown Middle School","=""0975111""",412,410,99.5,410,"*","*","*","*",42,10.2,227,55.4,119,29.0,346,84.4
"Newtown School District","=""0970011""","Newtown High School","=""0976111""",415,411,99.0,411,"*","*","*","*",70,17.0,91,22.1,233,56.7,324,78.8
"Norfolk School District","=""0980011""","Botelle Elementary School","=""0980111""",11,11,"*",11,"*","*","*","*","*","*","*","*","*","*","*","*"
"North Branford School District","=""0990011""","Totoket Valley Elementary School","=""0990611""",143,143,100.0,143,"*","*","*","*",31,21.7,74,51.7,19,13.3,93,65.0
"North Branford School District","=""0990011""","North Branford Intermediate School","=""0995111""",156,153,98.1,153,14,9.2,9,5.9,22,14.4,82,53.6,26,17.0,108,70.6
"North Branford School District","=""0990011""","North Branford High School","=""0996111""",149,146,98.0,146,"*","*","*","*",36,24.7,41,28.1,54,37.0,95,65.1
"North Canaan School District","=""1000011""","North Canaan Elementary School","=""1000111""",41,40,97.6,40,"*","*","*","*",9,22.5,20,50.0,"*","*","*","*"
"North Haven School District","=""1010011""","Montowese Elementary School","=""1010211""",56,55,98.2,55,"*","*","*","*",10,18.2,28,50.9,11,20.0,39,70.9
"North Haven School District","=""1010011""","Ridge Road Elementary School","=""1010311""",59,59,100.0,59,"*","*","*","*",12,20.3,27,45.8,9,15.3,36,61.0
"North Haven School District","=""1010011""","Green Acres Elementary School","=""1010711""",59,59,100.0,59,"*","*","*","*",9,15.3,30,50.8,14,23.7,44,74.6
"North Haven School District","=""1010011""","Clintonville Elementary School","=""1010811""",54,54,100.0,54,"*","*",7,13.0,19,35.2,21,38.9,"*","*","*","*"
"North Haven School District","=""1010011""","North Haven Middle School","=""1015211""",274,273,99.6,273,15,5.5,26,9.5,58,21.2,134,49.1,40,14.7,174,63.7
"North Haven School District","=""1010011""","North Haven High School","=""1016111""",246,239,97.2,239,8,3.3,18,7.5,74,31.0,53,22.2,86,36.0,139,58.2
"North Stonington School District","=""1020011""","North Stonington Elementary School","=""1020111""",56,55,98.2,55,0,0.0,0,0.0,"*","*","*","*",32,58.2,"*","*"
"North Stonington School District","=""1020011""","Wheeler Middle School","=""1025111""",52,52,100.0,52,0,0.0,"*","*","*","*",25,48.1,18,34.6,43,82.7
"North Stonington School District","=""1020011""","Wheeler High School","=""1026111""",46,46,100.0,46,"*","*","*","*",14,30.4,10,21.7,18,39.1,28,60.9
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""",63,63,100.0,63,12,19.0,6,9.5,14,22.2,21,33.3,10,15.9,31,49.2
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""",41,41,100.0,41,"*","*","*","*",8,19.5,13,31.7,13,31.7,26,63.4
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""",67,67,100.0,67,6,9.0,8,11.9,10,14.9,30,44.8,13,19.4,43,64.2
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""",105,104,99.0,104,11,10.6,11,10.6,23,22.1,44,42.3,15,14.4,59,56.7
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""",87,87,100.0,87,12,13.8,14,16.1,26,29.9,25,28.7,10,11.5,35,40.2
"Norwalk School District","=""1030011""","Rowayton School","=""1031311""",73,73,100.0,73,"*","*","*","*",8,11.0,31,42.5,22,30.1,53,72.6
"Norwalk School District","=""1030011""","Tracey School","=""1031411""",63,62,98.4,62,8,12.9,11,17.7,13,21.0,23,37.1,7,11.3,30,48.4
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""",66,66,100.0,66,"*","*","*","*",15,22.7,26,39.4,14,21.2,40,60.6
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""",58,58,100.0,58,"*","*","*","*",14,24.1,31,53.4,"*","*","*","*"
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""",71,71,100.0,71,9,12.7,6,8.5,22,31.0,26,36.6,8,11.3,34,47.9
"Norwalk School District","=""1030011""","Silvermine Elementary School","=""1032311""",77,77,100.0,77,12,15.6,19,24.7,20,26.0,19,24.7,7,9.1,26,33.8
"Norwalk School District","=""1030011""","Wolfpit School","=""1032411""",47,47,100.0,47,"*","*","*","*",15,31.9,14,29.8,7,14.9,21,44.7
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""",212,212,100.0,212,30,14.2,21,9.9,23,10.8,98,46.2,40,18.9,138,65.1
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""",223,223,100.0,223,52,23.3,37,16.6,45,20.2,74,33.2,15,6.7,89,39.9
"Norwalk School District","=""1030011""","West Rocks Middle School","=""1035411""",207,206,99.5,206,30,14.6,24,11.7,45,21.8,80,38.8,27,13.1,107,51.9
"Norwalk School District","=""1030011""","Roton Middle School","=""1035511""",155,154,99.4,154,23,14.9,15,9.7,34,22.1,62,40.3,20,13.0,82,53.2
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""",413,400,96.9,399,54,13.5,57,14.3,148,37.1,71,17.8,69,17.3,140,35.1
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""",423,413,97.6,411,53,12.9,66,16.1,140,34.1,87,21.2,65,15.8,152,37.0
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""",20,15,75.0,15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","=""9010022""","Night School","=""9010222""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich Free Academy District","=""9010022""","Norwich Free Academy","=""9016122""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","IRS Program at Uncas","=""1040711""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""",53,52,98.1,52,"*","*","*","*",11,21.2,23,44.2,7,13.5,30,57.7
"Norwich School District","=""1040011""","IRS Program at Moriarty","=""1040911""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""",61,61,100.0,61,12,19.7,"*","*",14,23.0,23,37.7,"*","*","*","*"
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""",39,39,100.0,39,"*","*",13,33.3,10,25.6,9,23.1,"*","*","*","*"
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""",36,36,100.0,36,"*","*","*","*","*","*",19,52.8,6,16.7,25,69.4
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""",56,56,100.0,56,14,25.0,"*","*",17,30.4,13,23.2,"*","*","*","*"
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""",38,38,100.0,38,10,26.3,8,21.1,12,31.6,"*","*","*","*",8,21.1
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""",67,67,100.0,67,9,13.4,6,9.0,22,32.8,22,32.8,8,11.9,30,44.8
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""",377,376,99.7,376,99,26.3,59,15.7,86,22.9,122,32.4,10,2.7,132,35.1
"Odyssey Community School District","=""2630013""","Odyssey Community School","=""2635113""",76,75,98.7,75,8,10.7,7,9.3,15,20.0,34,45.3,11,14.7,45,60.0
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""",211,211,100.0,211,"*","*","*","*",27,12.8,120,56.9,46,21.8,166,78.7
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""",110,108,98.2,108,"*","*","*","*",25,23.1,33,30.6,41,38.0,74,68.5
"Orange School District","=""1070011""","Race Brook School","=""1070311""",63,62,98.4,62,"*","*","*","*","*","*",30,48.4,23,37.1,53,85.5
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""",46,46,100.0,46,"*","*",0,0.0,"*","*",18,39.1,20,43.5,38,82.6
"Orange School District","=""1070011""","Peck Place School","=""1070511""",62,62,100.0,62,0,0.0,"*","*","*","*",35,56.5,19,30.6,54,87.1
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""",173,173,100.0,173,"*","*","*","*",25,14.5,82,47.4,56,32.4,138,79.8
"Oxford School District","=""1080011""","Alternative Education","=""1080411""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Oxford School District","=""1080011""","Great Oak School","=""1085111""",166,166,100.0,166,10,6.0,12,7.2,32,19.3,79,47.6,33,19.9,112,67.5
"Oxford School District","=""1080011""","Oxford High School","=""1086011""",138,138,100.0,137,6,4.4,6,4.4,36,26.3,28,20.4,61,44.5,89,65.0
"Park City Prep Charter School District","=""2830013""","Park City Prep Charter School","=""2835113""",176,174,98.9,174,34,19.5,32,18.4,41,23.6,56,32.2,11,6.3,67,38.5
"Path Academy District","=""2930013""","Path Academy","=""2930113""",45,22,48.9,19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""",163,162,99.4,162,13,8.0,20,12.3,43,26.5,70,43.2,16,9.9,86,53.1
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""",184,183,99.5,183,16,8.7,22,12.0,37,20.2,90,49.2,18,9.8,108,59.0
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""",169,163,96.4,162,31,19.1,31,19.1,62,38.3,23,14.2,15,9.3,38,23.5
"Plainville School District","=""1100011""","Linden Street School","=""1100211""",73,73,100.0,73,"*","*","*","*",17,23.3,36,49.3,11,15.1,47,64.4
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""",42,42,100.0,42,"*","*",7,16.7,"*","*",20,47.6,10,23.8,30,71.4
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""",52,52,100.0,52,"*","*","*","*",8,15.4,33,63.5,"*","*","*","*"
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""",168,166,98.8,166,15,9.0,9,5.4,21,12.7,78,47.0,43,25.9,121,72.9
"Plainville School District","=""1100011""","Plainville High School","=""1106111""",169,163,96.4,163,18,11.0,20,12.3,44,27.0,46,28.2,35,21.5,81,49.7
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""",56,56,100.0,56,"*","*",0,0.0,"*","*",26,46.4,18,32.1,44,78.6
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""",50,50,100.0,50,"*","*",6,12.0,11,22.0,25,50.0,"*","*","*","*"
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""",109,107,98.2,107,13,12.1,12,11.2,22,20.6,53,49.5,7,6.5,60,56.1
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""",127,125,98.4,125,15,12.0,27,21.6,38,30.4,29,23.2,16,12.8,45,36.0
"Plymouth School District","=""1110011""","Plymouth Alternative High School","=""1117111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Pomfret School District","=""1120011""","Pomfret Community School","=""1120111""",108,108,100.0,108,"*","*","*","*",15,13.9,60,55.6,26,24.1,86,79.6
"Portland School District","=""1130011""","Brownstone Intermediate School","=""1130511""",114,113,99.1,113,"*","*","*","*",17,15.0,61,54.0,25,22.1,86,76.1
"Portland School District","=""1130011""","Portland Middle School","=""1135111""",109,109,100.0,109,"*","*","*","*",14,12.8,61,56.0,26,23.9,87,79.8
"Portland School District","=""1130011""","Portland High School","=""1136111""",92,92,100.0,92,"*","*","*","*",29,31.5,24,26.1,29,31.5,53,57.6
"Preston School District","=""1140011""","Preston Veterans' Memorial School","=""1140411""",42,41,97.6,41,"*","*","*","*",8,19.5,19,46.3,10,24.4,29,70.7
"Preston School District","=""1140011""","Preston Plains School","=""1145111""",54,54,100.0,54,"*","*","*","*",9,16.7,25,46.3,13,24.1,38,70.4
"Putnam School District","=""1160011""","PALS - Putnam Alternative Learning System","=""1160111""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Putnam School District","=""1160011""","Putnam Elementary School","=""1160311""",92,88,95.7,88,13,14.8,12,13.6,22,25.0,33,37.5,8,9.1,41,46.6
"Putnam School District","=""1160011""","Putnam Middle School","=""1165111""",92,90,97.8,90,22,24.4,"*","*",18,20.0,37,41.1,"*","*","*","*"
"Putnam School District","=""1160011""","Putnam High School","=""1166111""",67,67,100.0,67,11,16.4,12,17.9,29,43.3,8,11.9,7,10.4,15,22.4
"Redding School District","=""1170011""","John Read Middle School","=""1175111""",218,213,97.7,213,"*","*","*","*",15,7.0,108,50.7,76,35.7,184,86.4
"Regional School District 01","=""2010012""","SELC","=""2010312""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","ALPSS","=""2010512""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 01","=""2010012""","Housatonic Valley Regional High School","=""2016112""",91,89,97.8,89,"*","*",14,15.7,38,42.7,20,22.5,"*","*","*","*"
"Regional School District 04","=""2040012""","John Winthrop Middle School","=""2045112""",161,161,100.0,161,"*","*","*","*",18,11.2,77,47.8,57,35.4,134,83.2
"Regional School District 04","=""2040012""","Valley Regional High School","=""2046112""",153,152,99.3,152,"*","*","*","*",40,26.3,36,23.7,69,45.4,105,69.1
"Regional School District 05","=""2050012""","Amity Middle School: Bethany","=""2055112""",189,188,99.5,188,"*","*","*","*",16,8.5,95,50.5,67,35.6,162,86.2
"Regional School District 05","=""2050012""","Amity Middle School: Orange","=""2055212""",188,185,98.4,185,11,5.9,10,5.4,28,15.1,95,51.4,41,22.2,136,73.5
"Regional School District 05","=""2050012""","Amity Regional High School","=""2056112""",358,357,99.7,356,"*","*","*","*",67,18.8,85,23.9,189,53.1,274,77.0
"Regional School District 06","=""2060012""","Goshen Center School","=""2060112""",25,24,96.0,24,"*","*","*","*","*","*",6,25.0,11,45.8,17,70.8
"Regional School District 06","=""2060012""","James Morris School","=""2060212""",19,19,"*",19,"*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","Warren Elementary School","=""2060312""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 06","=""2060012""","Wamogo Regional High School","=""2066112""",194,191,98.5,191,11,5.8,18,9.4,48,25.1,75,39.3,39,20.4,114,59.7
"Regional School District 07","=""2070012""","Northwestern Regional Middle School","=""2075112""",140,140,100.0,140,0,0.0,"*","*","*","*",67,47.9,62,44.3,129,92.1
"Regional School District 07","=""2070012""","Northwestern Regional High School","=""2076112""",169,169,100.0,169,0,0.0,8,4.7,44,26.0,47,27.8,70,41.4,117,69.2
"Regional School District 07","=""2070012""","FLEX","=""2079012""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","AIM","=""2079112""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","Links","=""2079212""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 07","=""2070012""","STEP","=""2079312""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 08","=""2080012""","RHAM Middle School","=""2085112""",281,281,100.0,281,11,3.9,13,4.6,"*","*",157,55.9,"*","*","*","*"
"Regional School District 08","=""2080012""","RHAM High School","=""2086112""","*","*","*","*","*","*","*","*",71,26.3,"*","*",99,36.7,"*","*"
"Regional School District 09","=""2090012""","Joel Barlow High School","=""2096112""",241,235,97.5,233,0,0.0,"*","*","*","*",58,24.9,123,52.8,181,77.7
"Regional School District 10","=""2100012""","Har-Bur Middle School","=""2105112""",359,354,98.6,353,"*","*",19,5.4,58,16.4,207,58.6,"*","*","*","*"
"Regional School District 10","=""2100012""","Lewis S. Mills High School","=""2106112""","*","*","*","*","*","*","*","*","*","*","*","*",92,45.8,"*","*"
"Regional School District 11","=""2110012""","Parish Hill High School","=""2116112""",70,70,100.0,70,"*","*","*","*",11,15.7,32,45.7,13,18.6,45,64.3
"Regional School District 12","=""2120012""","The Burnham School","=""2120112""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","Booth Free School","=""2120212""",13,13,"*",13,"*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 12","=""2120012""","Shepaug Valley School","=""2120312""",125,125,100.0,125,"*","*","*","*",15,12.0,49,39.2,49,39.2,98,78.4
"Regional School District 12","=""2120012""","Washington Primary School","=""2120412""",15,15,"*",15,"*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 13","=""2130012""","Middlefield Memorial School","=""2130412""",139,138,99.3,138,"*","*","*","*",19,13.8,67,48.6,43,31.2,110,79.7
"Regional School District 13","=""2130012""","Frank Ward Strong School","=""2135112""",156,155,99.4,155,"*","*","*","*",18,11.6,81,52.3,45,29.0,126,81.3
"Regional School District 13","=""2130012""","Coginchaug Regional High School","=""2136112""",126,123,97.6,123,"*","*","*","*",24,19.5,32,26.0,61,49.6,93,75.6
"Regional School District 14","=""2140012""","Bethlehem Elementary School","=""2140112""",57,57,100.0,57,0,0.0,"*","*","*","*",33,57.9,13,22.8,46,80.7
"Regional School District 14","=""2140012""","Mitchell Elementary School","=""2140212""",74,74,100.0,74,"*","*","*","*",10,13.5,35,47.3,22,29.7,57,77.0
"Regional School District 14","=""2140012""","Nonnewaug Chiefs Alternative Program","=""2140312""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 14","=""2140012""","Woodbury Middle School","=""2145112""",102,101,99.0,101,"*","*","*","*",17,16.8,58,57.4,19,18.8,77,76.2
"Regional School District 14","=""2140012""","Nonnewaug High School","=""2146112""",191,190,99.5,190,"*","*","*","*",58,30.5,49,25.8,65,34.2,114,60.0
"Regional School District 15","=""2150012""","MIJ Program","=""2150112""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Regional School District 15","=""2150012""","Gainfield Elementary School","=""2150412""",69,69,100.0,69,"*","*","*","*",9,13.0,40,58.0,18,26.1,58,84.1
"Regional School District 15","=""2150012""","Pomperaug School","=""2150512""",64,64,100.0,64,0,0.0,"*","*","*","*",39,60.9,21,32.8,60,93.8
"Regional School District 15","=""2150012""","Middlebury Elementary School","=""2150612""",72,72,100.0,72,"*","*","*","*",7,9.7,33,45.8,27,37.5,60,83.3
"Regional School District 15","=""2150012""","Long Meadow Elementary School","=""2150712""",78,78,100.0,78,"*","*","*","*",9,11.5,35,44.9,31,39.7,66,84.6
"Regional School District 15","=""2150012""","Rochambeau Middle School","=""2155112""",193,193,100.0,193,"*","*","*","*",25,13.0,106,54.9,51,26.4,157,81.3
"Regional School District 15","=""2150012""","Memorial Middle School","=""2155212""",154,153,99.4,153,"*","*","*","*",21,13.7,80,52.3,44,28.8,124,81.0
"Regional School District 15","=""2150012""","Pomperaug Regional High School","=""2156212""",287,280,97.6,280,"*","*","*","*",46,16.4,89,31.8,136,48.6,225,80.4
"Regional School District 16","=""2160012""","Laurel Ledge School","=""2160112""",62,61,98.4,61,"*","*","*","*","*","*",27,44.3,27,44.3,54,88.5
"Regional School District 16","=""2160012""","Prospect Elementary School","=""2160512""",105,103,98.1,103,"*","*","*","*",35,34.0,44,42.7,15,14.6,59,57.3
"Regional School District 16","=""2160012""","Long River Middle School","=""2165112""",194,191,98.5,191,"*","*",13,6.8,"*","*",107,56.0,29,15.2,136,71.2
"Regional School District 16","=""2160012""","Woodland Regional High School","=""2166012""",172,172,100.0,172,17,9.9,16,9.3,60,34.9,39,22.7,40,23.3,79,45.9
