"CMT/CAPT Science Assessment, 2015-16"
"All Districts, All Grades Combined, All Students"

"",,,,,,,,"Below Basic",,"Basic",,"Proficient",,"Goal",,"Advanced",,"At or Above Goal",
"District","District Code","School","SchoolCode","Total Numberof Students","Total NumberTested","ParticipationRate","Total Number with Scored Tests","Count","%","Count","%","Count","%","Count","%","Count","%","Count","%"
"Bristol School District","=""0170011""","Edgewood School","=""0170311""",67,67,100.0,67,"*","*","*","*",15,22.4,33,49.3,9,13.4,42,62.7
"Bristol School District","=""0170011""","Greene-Hills School","=""0170511""",207,205,99.0,205,23,11.2,28,13.7,36,17.6,97,47.3,21,10.2,118,57.6
"Bristol School District","=""0170011""","Greene-Hills GOAL","=""0170911""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side School","=""0171111""",73,73,100.0,73,"*","*",12,16.4,17,23.3,36,49.3,"*","*","*","*"
"Bristol School District","=""0170011""","Stafford School","=""0171211""",72,72,100.0,72,"*","*","*","*",15,20.8,40,55.6,8,11.1,48,66.7
"Bristol School District","=""0170011""","Ellen P. Hubbell School","=""0171411""",65,65,100.0,65,"*","*","*","*",10,15.4,36,55.4,12,18.5,48,73.8
"Bristol School District","=""0170011""","Mountain View School","=""0171711""",59,59,100.0,59,"*","*","*","*",20,33.9,30,50.8,0,0.0,30,50.8
"Bristol School District","=""0170011""","Ivy Drive School","=""0171911""",70,70,100.0,70,"*","*","*","*",14,20.0,31,44.3,14,20.0,45,64.3
"Bristol School District","=""0170011""","West Bristol School","=""0172011""",219,216,98.6,216,19,8.8,20,9.3,43,19.9,96,44.4,38,17.6,134,62.0
"Bristol School District","=""0170011""","Northeast MS/GOAL","=""0172811""","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","South Side GOAL","=""0173111""",6,6,"*",6,"*","*","*","*","*","*","*","*","*","*","*","*"
"Bristol School District","=""0170011""","Bristol Preparatory Academy","=""0173311""",16,12,"*",12,"*","*","*","*","*","*","*","*","*","*","*","*"
